agency_slug,agency_name,agency_name_verbatim,address,public_liaison,liaison_title,phone_numbers,application_count,pdf_page
aging,Department for the Aging,DEPARTMENT FOR THE AGING,"2 Lafayette Street, 7th Floor, New York, N.Y., 10007",Helene Wolff,Director of Public Affairs,212-442-1322; 212-442-1096; 212-442-1111,4,18
buildings,Department of Buildings,DEPARTMENT OF BUILDINGS,"60 Hudson Street, 14th Floor, New York, N.Y., 10013",Mark Ritze,Asst. Commissioner - Management Services,212-312-8000; 212-312-8065; 212-312-8025,29,21
business-services,Department of Business Services,DEPARTMENT OF BUSINESS SERVICES,"110 William Street, 3rd Floor, New York, N.Y., 10038",Miriam Rullan,"Director, Management Information Systems",212-618-6300; 212-618-8991; 212-618-8723,14,32
campaign-finance-board,New York City Campaign Finance Board,NEW YORK CITY CAMPAIGN FINANCE BOARD,"40 Rector Street, New York, N.Y., 10006",Mara Neville,Director of Communications,212-306-7100; 212-306-7143; 212-306-7150,1,37
city-planning,Department of City Planning,DEPARTMENT OF CITY PLANNING,"22 Reade Street, New York, N.Y., 10007-1216",Geneve Davis,Records Access Officer,212-720-3667; 212-720-3208,15,39
comptroller,Office of the Comptroller,OFFICE OF THE COMPTROLLER,"1 Centre Street, Room 530, New York, N.Y., 10007",Deena Ghaly,FOIL Officer,212-669-2508; 212-669-3857,20,49
consumer-affairs,Department of Consumer Affairs,DEPARTMENT OF CONSUMER AFFAIRS,"42 Broadway, New York, N.Y., 10004",Alfred Curtis,Director of Computer Service,212-487-4197,1,57
contracts,Office of Contracts,OFFICE OF CONTRACTS,"17 John Street, 7th Floor, New York, N.Y., 10038",Elizabeth Butler,Assistant Director,212-788-0010; 212-788-0049; 212-788-0010,1,59
correction,Department of Correction,DEPARTMENT OF CORRECTION,"60 Hudson Street, 6th Floor, New York, N.Y., 10013",Michael Calabrese,Manager of Records,212-266-1000; 718-389-5236,6,61
employment,Department of Employment,DEPARTMENT OF EMPLOYMENT ~,"220 Church Street, 5th Floor, New York, N.Y., 10013",Beverly Cheuvront,"220 Church Street, Room 513 New York, N.Y. 10013",212-433-3001; 212-964-8983; 212-433-6735,2,64
environmental-protection,Department of Environmental Protection,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"59-17 Junction Boulevard, Corona, N.Y., 11368",Mr. Sanford Evans,"Director, Public Affairs",718-595-6600,11,66
finance,Department of Finance,DEPARTMENT OF FINANCE,"1 Centre Street, Room 500, New York, N.Y., 10007",Gerald S. Koszer,"Records Access Officer, Office of Legal Affairs 345 Adams Street, 3rd Floor Brooklyn, N. Y. 11201",212-669-4855; 718-403-3644,27,71
fisa,Financial Information Services Agency,FINANCIAL INFORMATION SERVICES AGENCY,"111 Eighth Avenue, New York, N.Y., 10011",Chris Byrne,Records Access Officer,212-206-3000; 212-206-3010; 212-206-3279,2,82
fire,Fire Department,FIRE DEPARTMENT,"250 Livingston Street, Brooklyn, N.Y., 11201","Michael Ciferri, Acting Director",Bureau of Information and Computer Services,718-403-1403,10,84
general-services,Department of General Services,DEPARTMENT OF GENERAL SERVICES,"1 Centre Street, Room 1700, New York, N.Y., 10007",Fred Winters,Director of Communications,212-669-4664,8,88
health,Department of Health,DEPARTMENT OF HEALTH,"125 Worth Street, New York, N.Y., 10013",Charles Troob,Assistant Commissioner,212-566-0453; 212-788-5180,25,92
hpd,Department of Housing Preservation and Development,DEPARTMENT OF HOUSING PRESERVATION AND DEVELOPMENT,"100 Gold Street, New York, N.Y., 10038",Ira Bourstein,Records Access Officer Office of Legal Affairs / General Counsel,212-566-4663; 212-978-6273,0,104
hra,Human Resources Administration,HUMAN RESOURCES ADMINISTRATION,"250 Church Street, New York, N.Y., 10013",'Ro ger McMillan,Executive Deputy Administrator Managemen t Information Systems,212-206-3667,0,106
juvenile-justice,Department of Juvenile Justice,DEPARTMENT OF JUVENILE JUSTICE,"365 Broadway, New York, N.Y., 10013","Kay C. Murray, Esq.",Counsel and Records Access Officer,212-925-7779,10,108
