agency,user_bureau,application_name,year_activated,application_description,database_contents,status,confidentiality,method_of_access,pdf_page
DEPARTMENT FOR THE AGING,,Client Information,1986,"This system processes information collected on New York City's elderly population who are served by the Department's 400+ service providers. The processed information is used for both Federal, State, and City reporting and for use by DFTA's Research and Planning units.","Program reports (Individu,l client data is confidential), demographic statistics, research/planning, federal/state reimbursements.",,,,19
DEPARTMENT FOR THE AGING,,Grants Management,1989,"This system controls, by Cost Center, the bUdgets and expenses for each of the Department's 400+ service providers. The system ensures that prompt reimbursements occur each month to these service organizations to assure continuous cash flow for necessary purchases of provisions, staples, goods, and other materials.","Miscellaneous statistics, grants/specific funded programs, federal/state grants, service contractors, contractor directory.",,,,19
DEPARTMENT FOR THE AGING,,HEAP VI,1984,This System assists eligible senior citizens to apply for the Home Energy Assistance Program (HEAP) which pays for some or all of a senior's home heating bills. The HEAP program is State funded and administered by DFTA for New York city's elderly population.,"Home Energy Assistance Program (HEAP), administrative reports, cash grants, client directory (Individual Client data is confidential), vendor payments, revenue/expenditure statistics.",,,,20
DEPARTMENT FOR THE AGING,,Performance Based System (PBS),1984,"This system controls, by unit cost, the Home Care services provided by each of the DFTA's Home Care providers. Reimbursement to providers is based on the number of Home Care units delivered each month mUltiplied by the agreed-upon cost for each Home Care unit. Home Care services are the only services which require a unit Cost and for which reimbursement is based on a provider's performance of service delivery.","Contractor payments, federal/state reimbursements, federal/ state grants, service contractors.",,,,20
DEPARTMENT OF BUILDINGS,,Billing and Aging Report,12/85,"This program produces a citywide summary report by month and year, of all billings and collections for the Department of Buildings. It includes elevators, boilers and public assembly inspections as well as illuminated sign permits.",Fee collections/accountings,,,,22
DEPARTMENT OF BUILDINGS,,BIS-Accounting Module,12/85,"This module processes and accounts for fees and fines collected by DOB for filings, permits, licenses, certificates and other processing fees, and produces reports for management analysis.","Management reporting, lock boxes, fine collections/accounting, building modifications/repairs, building licenses, building demolitions, building constructions, building applications/ certificates/permits, financial reporting, fee collections/ accounting, financial accounting.",,,,22
DEPARTMENT OF BUILDINGS,,BIS-Application Processing Module,1989,"This module collects the necessary information for processing all applications for new construction, various types of repairs and alterations, demolitions, signs, plumbing repairs, and subdivisions.","Building modifications/repairs, building demolitions, building constructions, building code inspections/violations, building applications/certificates/permits, fee collections/accounting.",,,,22
DEPARTMENT OF BUILDINGS,,BIS-Complaint Tracking Module,1989,"This system records and tracks all complaints from city officials, community Boards and the public regarding various conditions at building work sites and at existing structures.","Public complaints, accidents, building constructions, building demolitions, building modifications/repairs, other complaints, building/structure inspections, management reporting.",,,,23
DEPARTMENT OF BUILDINGS,,BIS-Pre-Filing/Fee Estimation,1989,This module handles the initial intake of work permit applications into the BIS System and computes fees for work to be performed. The module is also used for fee adjustments and building cluster processing.,"Management reporting, building applications/certificates/ permits, building demolitions, building constructions, miscellaneous billings.",,,,23
DEPARTMENT OF BUILDINGS,,BIS-Landmarks Module,1989,The module is the direct on-line link between the Landmarks Preservation Commission and the Department of Buildings. It allows LPC to designate properties directly on DOB's database.,", Landmark structures, landmark sites, management reporting.",,,,23
DEPARTMENT OF BUILDINGS,,BIS-Permit Issuance Module,1989,"Permits for new construction, alterations, demolitions, equipment use, foundations and signs are issued in this module. All remaining fees and civil penalties are collected here.","Building modifications/repairs, building licenses, building demolitions, building constructions, building code inspections/ violations, building applications/certificates/permits, finance licenses/permits, fee collections/accounting.",,,,24
DEPARTMENT OF BUILDINGS,,BIS-Plan Examinations Module,1989,"In this module, items required to satisfy the plan examination are tracked and recorded. Applications can be approved for permit(s) at this time, or rejected until all necessary documentation is in order.","Building applications/certificates/permits, building demolitions, building constructions, building modifications/ repairs, city planning licenses/permits, city streets/ addresses/zoning/election districts/political subdivisions/ community boards, land use, landmark sites, landmark structures, management reporting.",,,,24
DEPARTMENT OF BUILDINGS,,BIS-property Profile Tracking Module,1989,"This module tracks a wide variety of information for every building in the five boroughs, inclUding geographical data, all applications processed and permits received, violations, owner­ ship data, landmarks designations, land use and finance data.","Building applications/certificates/permits, building constructions, building code inspections/violations, building demolitions, building modifications/repairs, address directory, geographics/maps, land use, landmark sites, landmark structures, management reporting, city owned properties, property owners.",,,,24
DEPARTMENT OF BUILDINGS,,Boiler and Elevator Periodic Reinspection,3/85,Reinspection of Boilers and Elevators that were in violation of the building codes. These reinspections are billed.,"Public safety inspections, building code inspections/ violations, miscellaneous billings.",,,,25
